[Gene ID],[Genomic Location (Transcript)],[Product Description],,Start_loc,Stop_loc,LOCUS,STRAND,H_exp,S_exp,CONTIG,Start_TE,Stop_TE,Type,Subtype
CIMG_13718,GG704916:1557719..1558805(-),hypothetical protein,GG704916,1557145,1558805,CIMG_13718,-,0.3436,0.61,GG704916,1561752,1562010,DNA,TcMar
CIMG_13714,GG704916:1325112..1325769(-),hypothetical protein,GG704916,1325112,1325769,CIMG_13714,-,0.2348,0.6003,GG704916,1326540,1326979,LTR,Gypsy
CIMG_13691,GG704916:804768..807096(+),hypothetical protein,GG704916,804768,807096,CIMG_13691,+,0.028,0.2035,GG704916,804525,808346,LTR,Ngaro
CIMG_13690,GG704916:798225..799929(-),hypothetical protein,GG704916,798225,799929,CIMG_13690,-,0.8141,1.132,GG704916,804474,804529,LTR,Ngaro
CIMG_13669,GG704916:298867..299343(+),hypothetical protein,GG704916,298867,299343,CIMG_13669,+,1.9853,0.3904,GG704916,299105,299564,LTR,Gypsy
CIMG_13666,GG704916:138236..138852(+),hypothetical protein,GG704916,138236,138852,CIMG_13666,+,0.3502,0.1989,GG704916,138371,139328,DNA,hAT
CIMG_13665,GG704916:134547..134741(+),hypothetical protein,GG704916,134547,134741,CIMG_13665,+,0,0,GG704916,133854,135196,DNA,hAT
CIMG_13664,GG704916:132927..133415(+),hypothetical protein,GG704916,132927,133415,CIMG_13664,+,0.2492,0.053,GG704916,128008,133871,DNA,hAT
CIMG_13663,GG704916:131199..131447(-),hypothetical protein,GG704916,131199,131447,CIMG_13663,-,0,0,GG704916,128008,133871,DNA,hAT
CIMG_13662,GG704916:105649..106168(+),hypothetical protein,GG704916,105649,106168,CIMG_13662,+,0,0.0588,GG704916,104781,106640,DNA,hAT
CIMG_13658,GG704916:88553..89613(-),hypothetical protein,GG704916,88553,89613,CIMG_13658,-,0,0.066,GG704916,86635,97877,DNA,hAT
CIMG_13655,GG704916:85200..85918(-),hypothetical protein,GG704916,85200,85918,CIMG_13655,-,0,0.1373,GG704916,79733,86638,LTR,Gypsy
CIMG_13654,GG704916:78645..78869(-),hypothetical protein,GG704916,78645,78869,CIMG_13654,-,0,0.2308,GG704916,72175,79733,LTR,Gypsy
CIMG_13652,GG704916:59881..60189(-),hypothetical protein,GG704916,59881,60189,CIMG_13652,-,0,0,GG704916,57615,60680,LTR,Gypsy
CIMG_13651,GG704916:58161..59201(-),hypothetical protein,GG704916,58161,59201,CIMG_13651,-,0,0.4438,GG704916,57615,60680,LTR,Gypsy
CIMG_13648,GG704916:33852..34580(-),hypothetical protein,GG704916,33852,34580,CIMG_13648,-,0,0.0404,GG704916,29732,32014,DNA,hAT
CIMG_13647,GG704916:32418..33014(-),hypothetical protein,GG704916,32418,33014,CIMG_13647,-,0,0,GG704916,29732,32014,DNA,hAT
CIMG_13645,GG704916:7964..9013(+),hypothetical protein,GG704916,7964,9013,CIMG_13645,+,0,0,GG704916,9412,9621,DNA,hAT
CIMG_13643,GG704915:3460299..3461089(-),hypothetical protein,GG704915,3460299,3461089,CIMG_13643,-,0,0.0382,GG704915,3459213,3459890,DNA,TcMar
CIMG_13633,GG704915:3408289..3408841(-),hypothetical protein,GG704915,3408289,3408841,CIMG_13633,-,0.1781,0.6073,GG704915,3410178,3410713,DNA,hAT
CIMG_13632,GG704915:3358640..3366373(+),polyketide synthase,GG704915,3358640,3366827,CIMG_13632,+,0.1015,0.2068,GG704915,3367238,3380922,DNA,TcMar
CIMG_13630,GG704915:3351482..3351859(-),hypothetical protein,GG704915,3351482,3351859,CIMG_13630,-,13.7026,29.8805,GG704915,3351517,3352125,LTR,Copia
CIMG_13629,GG704915:3345927..3346410(+),hypothetical protein,GG704915,3345927,3346410,CIMG_13629,+,0.9105,0.2984,GG704915,3344079,3346424,DNA,MULE-MuDR
CIMG_13628,GG704915:3330184..3330414(+),hypothetical protein,GG704915,3330184,3330414,CIMG_13628,+,0,0.4496,GG704915,3329999,3330537,LTR,Gypsy
CIMG_13627,GG704915:3328302..3329438(+),hypothetical protein,GG704915,3328173,3329984,CIMG_13627,+,18.2943,14.831,GG704915,3329401,3329748,LTR,Gypsy
CIMG_13624,GG704915:3304047..3305498(-),phospholipase,GG704915,3304047,3305498,CIMG_13624,-,2.749,3.2103,GG704915,3308252,3308533,DNA,hAT
CIMG_13622,GG704915:3249761..3250431(-),hypothetical protein,GG704915,3249132,3250431,CIMG_13622,-,0,0.1172,GG704915,3249956,3250048,LTR,Copia
CIMG_13621,GG704915:3225034..3225411(+),hypothetical protein,GG704915,3224684,3225933,CIMG_13621,+,1.5355,2.3057,GG704915,3225532,3225877,LTR,Copia
CIMG_13601,GG704915:2546914..2547228(+),hypothetical protein,GG704915,2546253,2547228,CIMG_13601,+,4.2279,7.6351,GG704915,2549690,2551850,DNA,TcMar
CIMG_13600,GG704915:2544574..2545703(+),hypothetical protein,GG704915,2544574,2545703,CIMG_13600,+,0.9447,5.9377,GG704915,2549690,2551850,DNA,TcMar
CIMG_13598,GG704915:2435418..2436176(-),hypothetical protein,GG704915,2435418,2436176,CIMG_13598,-,0,0,GG704915,2432584,2436405,LTR,Ngaro
CIMG_13571,GG704915:1815165..1816380(-),hypothetical protein,GG704915,1815165,1816380,CIMG_13571,-,0.8463,0.4958,GG704915,1816649,1816738,DNA,TcMar
CIMG_13560,GG704915:1227596..1227941(+),hypothetical protein,GG704915,1227596,1227941,CIMG_13560,+,36.1103,19.8745,GG704915,1232662,1232736,DNA,TcMar
CIMG_13553,GG704915:935198..935791(+),hypothetical protein,GG704915,935198,935791,CIMG_13553,+,0,0,GG704915,935662,936027,DNA,hAT
CIMG_13547,GG704915:800977..801953(-),hypothetical protein,GG704915,800977,801953,CIMG_13547,-,0,0,GG704915,800695,800728,DNA,TcMar
CIMG_13542,GG704915:736293..737029(+),hypothetical protein,GG704915,736293,737029,CIMG_13542,+,0,0.1227,GG704915,740063,740323,DNA,TcMar
CIMG_13539,GG704915:679625..680232(+),hypothetical protein,GG704915,679625,680232,CIMG_13539,+,0,0,GG704915,680749,680929,DNA,TcMar
CIMG_13538,GG704915:644141..644704(+),hypothetical protein,GG704915,644141,644704,CIMG_13538,+,4.8933,12.1957,GG704915,645540,645659,LINE.1,0
CIMG_13530,GG704915:494485..494772(-),hypothetical protein,GG704915,494485,494772,CIMG_13530,-,0,0.2704,GG704915,494974,495007,DNA,TcMar
CIMG_13527,GG704915:448835..449388(+),hypothetical protein,GG704915,448835,449388,CIMG_13527,+,0.1493,0.1909,GG704915,449960,450140,DNA,TcMar
CIMG_13526,GG704915:438752..440426(+),molybdenum cofactor biosynthetic protein,GG704915,438717,441166,CIMG_13526,+,2.405,3.0234,GG704915,442269,442349,DNA,TcMar
CIMG_13523,GG704915:313631..314162(+),hypothetical protein,GG704915,313631,314162,CIMG_13523,+,1.0463,0.2622,GG704915,314430,319691,LTR,Copia
CIMG_13521,GG704915:309437..310690(+),variable surface lipoprotein,GG704915,309437,310690,CIMG_13521,+,0.1031,0.1098,GG704915,314430,319691,LTR,Copia
CIMG_13518,GG704915:284334..285165(+),hypothetical protein,GG704915,284334,285165,CIMG_13518,+,0.0846,0,GG704915,284448,285624,DNA,TcMar
CIMG_13517,GG704915:279258..280433(+),hypothetical protein,GG704915,279258,280433,CIMG_13517,+,1.1917,4.5262,GG704915,278515,279181,DNA,TcMar
CIMG_13515,GG704915:264735..264947(+),hypothetical protein,GG704915,264735,264947,CIMG_13515,+,0,0.2438,GG704915,262327,267627,DNA,hAT
CIMG_13513,GG704915:262238..262638(-),hypothetical protein,GG704915,262238,262638,CIMG_13513,-,0,0.1407,GG704915,262327,267627,DNA,hAT
CIMG_13512,GG704915:259314..260517(-),hypothetical protein,GG704915,259314,260517,CIMG_13512,-,0,0,GG704915,258134,260845,LTR,Gypsy
CIMG_13511,GG704915:257069..257545(+),hypothetical protein,GG704915,257069,257917,CIMG_13511,+,0,0.1223,GG704915,247630,258133,LTR,Gypsy
CIMG_13507,GG704915:230229..230634(-),hypothetical protein,GG704915,230229,230634,CIMG_13507,-,27.1742,48.3434,GG704915,230433,230658,DNA,TcMar
CIMG_13506,GG704915:227209..227701(-),hypothetical protein,GG704915,227209,227701,CIMG_13506,-,1.4415,2.5127,GG704915,227713,227892,DNA,hAT
CIMG_13504,GG704915:213584..214305(+),hypothetical protein,GG704915,213584,214305,CIMG_13504,+,2.7942,16.8063,GG704915,216158,216265,DNA,TcMar
CIMG_13500,GG704915:170560..170853(+),hypothetical protein,GG704915,170024,171317,CIMG_13500,+,0.0235,0.1404,GG704915,161225,171774,LTR,Gypsy
CIMG_13498,GG704915:147527..147914(+),hypothetical protein,GG704915,147527,147914,CIMG_13498,+,0,0,GG704915,148498,148558,LTR,Gypsy
CIMG_13494,GG704915:101178..101825(+),hypothetical protein,GG704915,101178,101825,CIMG_13494,+,0.1781,0.0759,GG704915,101814,102216,LTR,Copia
CIMG_13493,GG704915:98577..99575(+),hypothetical protein,GG704915,98577,99575,CIMG_13493,+,0,0,GG704915,101814,102216,LTR,Copia
CIMG_13491,GG704915:64900..65931(+),hypothetical protein,GG704915,64900,65931,CIMG_13491,+,0,0,GG704915,64907,67189,DNA,hAT
CIMG_13490,GG704915:63836..64788(+),hypothetical protein,GG704915,63836,64788,CIMG_13490,+,0,0,GG704915,64907,67189,DNA,hAT
CIMG_13489,GG704915:61811..63585(+),hypothetical protein,GG704915,61811,63585,CIMG_13489,+,0,0.0387,GG704915,64907,67189,DNA,hAT
CIMG_13485,GG704915:15378..16346(+),hypothetical protein,GG704915,15378,16346,CIMG_13485,+,0,0,GG704915,15314,16899,DNA,TcMar
CIMG_13475,GG704914:3668663..3669130(+),hypothetical protein,GG704914,3668663,3669130,CIMG_13475,+,4.2684,60.9616,GG704914,3670466,3671215,DNA,TcMar
CIMG_13473,GG704914:3634666..3635478(+),YjgH family protein,GG704914,3634666,3635478,CIMG_13473,+,29.4378,54.2717,GG704914,3637993,3638201,LTR,Gypsy
CIMG_13470,GG704914:3499822..3500363(+),hypothetical protein,GG704914,3499822,3500363,CIMG_13470,+,0.5712,1.0277,GG704914,3500579,3500650,DNA,TcMar
CIMG_13469,GG704914:3447084..3448033(-),hypothetical protein,GG704914,3447084,3448033,CIMG_13469,-,0,0.3109,GG704914,3450822,3451446,DNA,TcMar
CIMG_13467,GG704914:3369037..3369576(+),hypothetical protein,GG704914,3369037,3369576,CIMG_13467,+,0,0.3176,GG704914,3367953,3372391,LTR,Ngaro
CIMG_13466,GG704914:3361078..3362071(-),hypothetical protein,GG704914,3360478,3362071,CIMG_13466,-,2.9718,8.428,GG704914,3357106,3357138,DNA,TcMar
CIMG_13464,GG704914:3180575..3182213(+),AGC/PKA protein kinase,GG704914,3180376,3183059,CIMG_13464,+,0.8399,0.612,GG704914,3184125,3184202,LTR,Gypsy
CIMG_13463,GG704914:3176812..3179459(+),stress activated MAP kinase interacting protein,GG704914,3176530,3179700,CIMG_13463,+,1.6738,1.7406,GG704914,3184125,3184202,LTR,Gypsy
CIMG_13461,GG704914:3079830..3080546(-),hypothetical protein,GG704914,3079830,3080546,CIMG_13461,-,0,0.1298,GG704914,3082237,3083019,LTR,Gypsy
CIMG_13460,GG704914:3079345..3079524(+),hypothetical protein,GG704914,3079345,3079524,CIMG_13460,+,0,0,GG704914,3067258,3077826,LTR,Gypsy
CIMG_13454,GG704914:2998128..2998355(-),hypothetical protein,GG704914,2998128,2998355,CIMG_13454,-,0,0.911,GG704914,2998133,2999929,DNA,hAT
CIMG_13451,GG704914:2908469..2908902(+),hypothetical protein,GG704914,2908469,2908902,CIMG_13451,+,0.1612,0,GG704914,2908704,2910674,LTR,Gypsy
CIMG_13450,GG704914:2906978..2907331(-),hypothetical protein,GG704914,2906978,2907331,CIMG_13450,-,0,0.8485,GG704914,2907034,2908704,DNA,hAT
CIMG_13449,GG704914:2905180..2905685(-),hypothetical protein,GG704914,2905180,2905685,CIMG_13449,-,0,0.0554,GG704914,2899032,2905986,LTR,Gypsy
CIMG_13447,GG704914:2822670..2824379(-),MFS transporter,GG704914,2822670,2825356,CIMG_13447,-,0.2417,0.3433,GG704914,2825416,2825483,DNA,TcMar
CIMG_13440,GG704914:2673940..2674980(+),hypothetical protein,GG704914,2673676,2675721,CIMG_13440,+,21.8757,26.7392,GG704914,2674960,2675724,LTR,Copia
CIMG_13439,GG704914:2668042..2668649(-),hypothetical protein,GG704914,2668042,2668649,CIMG_13439,-,0.1904,2.2178,GG704914,2667954,2668134,DNA,TcMar
CIMG_13438,GG704914:2665510..2666074(+),hypothetical protein,GG704914,2665510,2666074,CIMG_13438,+,0,0.1573,GG704914,2667954,2668134,DNA,TcMar
CIMG_13437,GG704914:2656761..2657813(-),hypothetical protein,GG704914,2656761,2658260,CIMG_13437,-,0.1433,0.1018,GG704914,2656839,2657302,LTR,Gypsy
CIMG_13436,GG704914:2655454..2656595(-),hypothetical protein,GG704914,2655454,2656595,CIMG_13436,-,0.1488,0.0317,GG704914,2656138,2656758,LTR,Gypsy
CIMG_13434,GG704914:2614808..2615422(+),hypothetical protein,GG704914,2614808,2615422,CIMG_13434,+,0,0.2747,GG704914,2612455,2612568,DNA,TcMar
CIMG_13433,GG704914:2613574..2614170(+),hypothetical protein,GG704914,2613574,2614170,CIMG_13433,+,0,0.4371,GG704914,2612455,2612568,DNA,TcMar
CIMG_13432,GG704914:2611017..2611322(-),hypothetical protein,GG704914,2611017,2611322,CIMG_13432,-,0,0,GG704914,2611243,2611425,DNA,MULE-MuDR
CIMG_13429,GG704914:2513967..2514733(+),hypothetical protein,GG704914,2513967,2514733,CIMG_13429,+,0,0,GG704914,2515064,2520371,LTR,Copia
CIMG_13428,GG704914:2501039..2501956(-),hypothetical protein,GG704914,2501039,2501956,CIMG_13428,-,0,0.1466,GG704914,2502118,2509225,LTR,Gypsy
CIMG_13427,GG704914:2471509..2471661(-),hypothetical protein,GG704914,2471509,2471661,CIMG_13427,-,0,0,GG704914,2471534,2472513,LTR,Gypsy
CIMG_13422,GG704914:2360564..2361088(+),hypothetical protein,GG704914,2360564,2361088,CIMG_13422,+,0.1934,0.3297,GG704914,2361752,2367018,DNA,TcMar
CIMG_13417,GG704914:2286352..2286804(-),hypothetical protein,GG704914,2286352,2286804,CIMG_13417,-,2.4885,14.6161,GG704914,2286585,2286665,DNA,TcMar
CIMG_13392,GG704914:1593208..1593555(+),hypothetical protein,GG704914,1593208,1593555,CIMG_13392,+,0,0.5222,GG704914,1593303,1597275,LTR,Gypsy
CIMG_13391,GG704914:1589232..1590080(+),hypothetical protein,GG704914,1589232,1590080,CIMG_13391,+,0,0,GG704914,1580209,1590801,LTR,Gypsy
CIMG_13379,GG704914:1127432..1127908(+),hypothetical protein,GG704914,1127414,1128424,CIMG_13379,+,7.7451,17.7723,GG704914,1128388,1128529,DNA,TcMar
CIMG_13378,GG704914:1125725..1127269(+),hypothetical protein,GG704914,1125725,1127269,CIMG_13378,+,0.1542,0.4693,GG704914,1125314,1125579,DNA,TcMar
CIMG_13377,GG704914:1114819..1115142(+),hypothetical protein,GG704914,1114819,1115142,CIMG_13377,+,0.3385,2.6926,GG704914,1115660,1115987,DNA,TcMar
CIMG_13353,GG704914:200531..201562(-),hypothetical protein,GG704914,200531,201562,CIMG_13353,-,0,0,GG704914,202541,202654,DNA,TcMar
CIMG_13347,GG704914:53964..54495(+),hypothetical protein,GG704914,53635,54996,CIMG_13347,+,2.0571,2.4638,GG704914,53436,53818,DNA,TcMar
CIMG_13342,GG704913:4270857..4271578(-),hypothetical protein,GG704913,4270857,4271578,CIMG_13342,-,0.1005,0,GG704913,4270889,4291141,DNA,hAT
CIMG_13341,GG704913:4268594..4269207(+),hypothetical protein,GG704913,4268594,4269207,CIMG_13341,+,0,0.1881,GG704913,4269616,4270290,DNA,hAT
CIMG_13340,GG704913:4266789..4267441(+),hypothetical protein,GG704913,4266789,4267441,CIMG_13340,+,0,0,GG704913,4264454,4264764,DNA,hAT
CIMG_13338,GG704913:4253015..4253612(-),hypothetical protein,GG704913,4253015,4253612,CIMG_13338,-,0,0,GG704913,4253022,4260787,DNA,TcMar
CIMG_13306,GG704913:3087136..3087435(-),hypothetical protein,GG704913,3087136,3087435,CIMG_13306,-,1.5827,3.1472,GG704913,3087872,3088290,LTR,Gypsy
CIMG_13305,GG704913:3083276..3084306(+),hypothetical protein,GG704913,3083276,3084306,CIMG_13305,+,0.5345,1.1957,GG704913,3084401,3084579,DNA,TcMar
CIMG_13304,GG704913:3072804..3073160(-),hypothetical protein,GG704913,3072804,3073160,CIMG_13304,-,0.0853,2.691,GG704913,3072851,3073456,DNA,hAT
CIMG_13303,GG704913:3067276..3067733(+),hypothetical protein,GG704913,3067276,3067733,CIMG_13303,+,0.155,0.3964,GG704913,3067602,3068275,DNA,hAT
CIMG_13297,GG704913:2923716..2926656(+),copper radical oxidase,GG704913,2923716,2926868,CIMG_13297,+,0.0936,0.8338,GG704913,2929343,2929405,DNA,TcMar
CIMG_13275,GG704913:2417072..2424728(+),1-phosphatidylinositol-3-phosphate 5-kinase,GG704913,2416880,2424728,CIMG_13275,+,11.2475,16.5766,GG704913,2428263,2433573,LTR,Copia
CIMG_13266,GG704913:2242971..2243279(+),hypothetical protein,GG704913,2242775,2243543,CIMG_13266,+,0.6339,0.5064,GG704913,2248482,2248551,LTR,Copia
CIMG_13251,GG704913:1923841..1924227(-),hypothetical protein,GG704913,1922943,1924229,CIMG_13251,-,0.8522,13.7189,GG704913,1923929,1924424,DNA,TcMar
CIMG_13247,GG704913:1854907..1856151(-),hypothetical protein,GG704913,1854907,1856151,CIMG_13247,-,0.0853,5.77,GG704913,1855756,1861218,LTR,Copia
CIMG_13246,GG704913:1852727..1853287(-),hypothetical protein,GG704913,1852727,1853287,CIMG_13246,-,0.4564,0.4862,GG704913,1855756,1861218,LTR,Copia
CIMG_13243,GG704913:1755809..1756129(+),hypothetical protein,GG704913,1755809,1756129,CIMG_13243,+,2.183,6.7946,GG704913,1757389,1757649,DNA,TcMar
CIMG_13242,GG704913:1748793..1749132(+),hypothetical protein,GG704913,1748793,1749132,CIMG_13242,+,1.4658,10.8857,GG704913,1751014,1751223,DNA,TcMar
CIMG_13241,GG704913:1748380..1748682(+),hypothetical protein,GG704913,1747899,1748736,CIMG_13241,+,6.394,22.4856,GG704913,1751014,1751223,DNA,TcMar
CIMG_13240,GG704913:1678673..1679615(+),hypothetical protein,GG704913,1678673,1679615,CIMG_13240,+,0,0.079,GG704913,1674267,1680093,DNA,hAT
CIMG_13239,GG704913:1677449..1677779(-),hypothetical protein,GG704913,1677449,1677779,CIMG_13239,-,0,2.273,GG704913,1674267,1680093,DNA,hAT
CIMG_13238,GG704913:1676855..1677163(-),hypothetical protein,GG704913,1676855,1677163,CIMG_13238,-,0.0986,7.0584,GG704913,1674267,1680093,DNA,hAT
CIMG_13237,GG704913:1670098..1670955(-),hypothetical protein,GG704913,1670098,1670955,CIMG_13237,-,0,0.0537,GG704913,1669816,1669849,DNA,TcMar
CIMG_13236,GG704913:1666239..1666730(-),hypothetical protein,GG704913,1666239,1666730,CIMG_13236,-,0.0672,0.2865,GG704913,1668208,1668461,DNA,TcMar
CIMG_13228,GG704913:1547209..1547986(+),hypothetical protein,GG704913,1547209,1547986,CIMG_13228,+,0,0,GG704913,1545236,1547244,DNA,hAT
CIMG_13227,GG704913:1535929..1536492(-),hypothetical protein,GG704913,1535929,1536492,CIMG_13227,-,0,1.202,GG704913,1536665,1537093,LTR,Gypsy
CIMG_13224,GG704913:1520645..1520854(-),hypothetical protein,GG704913,1520645,1520854,CIMG_13224,-,0,0.8655,GG704913,1517452,1523168,DNA,MULE-MuDR
CIMG_13219,GG704913:1466563..1467726(-),hypothetical protein,GG704913,1466563,1467726,CIMG_13219,-,0.1829,0.7017,GG704913,1466661,1471915,DNA,hAT
CIMG_13218,GG704913:1465584..1466178(+),hypothetical protein,GG704913,1465584,1466178,CIMG_13218,+,0,0.4296,GG704913,1466090,1466599,DNA,hAT
CIMG_13211,GG704913:1373134..1374073(+),hypothetical protein,GG704913,1373134,1374073,CIMG_13211,+,0.0781,1.731,GG704913,1368732,1374550,DNA,hAT
CIMG_13210,GG704913:1367403..1368075(+),hypothetical protein,GG704913,1367403,1368075,CIMG_13210,+,0.1586,0.2704,GG704913,1368732,1374550,DNA,hAT
CIMG_13208,GG704913:1355140..1355590(+),hypothetical protein,GG704913,1354689,1355913,CIMG_13208,+,0,0.4264,GG704913,1358403,1358701,DNA,TcMar
CIMG_13205,GG704913:1325991..1326314(+),hypothetical protein,GG704913,1325650,1326450,CIMG_13205,+,0.3262,1.6336,GG704913,1324919,1325623,DNA,TcMar
CIMG_13204,GG704913:1325083..1325748(-),hypothetical protein,GG704913,1325083,1326142,CIMG_13204,-,3.4881,10.3739,GG704913,1324919,1325623,DNA,TcMar
CIMG_13200,GG704913:1295216..1295623(-),hypothetical protein,GG704913,1294749,1295879,CIMG_13200,-,0.0282,0.0963,GG704913,1298106,1298316,LTR,Gypsy
CIMG_13196,GG704913:1134729..1136678(-),hypothetical protein,GG704913,1134590,1136678,CIMG_13196,-,9.0222,25.6752,GG704913,1136713,1136906,LTR,Gypsy
CIMG_13195,GG704913:1131774..1132392(+),hypothetical protein,GG704913,1131774,1132392,CIMG_13195,+,0.1154,0.1475,GG704913,1136713,1136906,LTR,Gypsy
CIMG_13189,GG704913:899292..899600(+),hypothetical protein,GG704913,899292,899600,CIMG_13189,+,0,0.252,GG704913,896357,902196,DNA,hAT
CIMG_13188,GG704913:896832..897358(-),hypothetical protein,GG704913,896832,897358,CIMG_13188,-,0,0,GG704913,896357,902196,DNA,hAT
CIMG_13184,GG704913:846638..847417(+),hypothetical protein,GG704913,846638,847783,CIMG_13184,+,0,0,GG704913,845220,848006,LTR,Gypsy
CIMG_13177,GG704913:602885..603736(+),hypothetical protein,GG704913,602885,603736,CIMG_13177,+,0.3532,0.602,GG704913,603143,603285,DNA,CMC-EnSpm
CIMG_13156,GG704913:34727..35666(-),hypothetical protein,GG704913,34727,35666,CIMG_13156,-,0,0.0665,GG704913,34815,41103,DNA,hAT
CIMG_13155,GG704913:28989..29501(-),hypothetical protein,GG704913,28989,29501,CIMG_13155,-,10.0372,15.2349,GG704913,29526,30698,LTR,Copia
CIMG_13152,GG704912:5249518..5250535(+),hypothetical protein,GG704912,5249518,5250535,CIMG_13152,+,0,0.0327,GG704912,5251035,5253257,DNA,hAT
CIMG_13150,GG704912:5235429..5235912(+),hypothetical protein,GG704912,5235429,5235912,CIMG_13150,+,0,0,GG704912,5235839,5237200,DNA,TcMar
CIMG_13149,GG704912:5222620..5223425(+),hypothetical protein,GG704912,5222620,5223425,CIMG_13149,+,0,0,GG704912,5225242,5227718,DNA,hAT
CIMG_13148,GG704912:5216377..5216721(+),hypothetical protein,GG704912,5216377,5216721,CIMG_13148,+,0,0.8278,GG704912,5216595,5220407,DNA,TcMar
CIMG_13147,GG704912:5215222..5215956(+),transcription termination factor 2,GG704912,5215222,5215956,CIMG_13147,+,0,0.3091,GG704912,5213419,5216596,DNA,TcMar
CIMG_13146,GG704912:5213470..5213791(-),hypothetical protein,GG704912,5213470,5213791,CIMG_13146,-,0,0,GG704912,5213419,5216596,DNA,TcMar
CIMG_13144,GG704912:5188767..5189736(-),hypothetical protein,GG704912,5188767,5189736,CIMG_13144,-,0,0.5259,GG704912,5191523,5191734,LTR,Copia
CIMG_13141,GG704912:5161141..5161638(+),hypothetical protein,GG704912,5161141,5161638,CIMG_13141,+,0,0,GG704912,5160996,5161891,LINE,Tad1
CIMG_13140,GG704912:5158461..5158895(+),hypothetical protein,GG704912,5158461,5158895,CIMG_13140,+,0.07,0.8953,GG704912,5158883,5159349,DNA,hAT
CIMG_13139,GG704912:5157023..5157296(-),hypothetical protein,GG704912,5157023,5157296,CIMG_13139,-,0,0.3508,GG704912,5152496,5158836,DNA,hAT
CIMG_13138,GG704912:5147217..5147573(-),hypothetical protein,GG704912,5147217,5147573,CIMG_13138,-,0.0853,0.3636,GG704912,5147443,5158546,DNA,hAT
CIMG_13127,GG704912:4806376..4807608(-),serine/threonine protein kinase,GG704912,4806138,4807608,CIMG_13127,-,30.0666,53.4129,GG704912,4808783,4809452,DNA,TcMar
CIMG_13116,GG704912:4448791..4450157(+),hypothetical protein,GG704912,4448791,4450157,CIMG_13116,+,0.4135,0.3133,GG704912,4448761,4449112,DNA,hAT
CIMG_13115,GG704912:4447395..4448284(+),hypothetical protein,GG704912,4447395,4448284,CIMG_13115,+,0.1508,0.257,GG704912,4442968,4448761,DNA,hAT
CIMG_13114,GG704912:4439860..4440407(+),hypothetical protein,GG704912,4439860,4440407,CIMG_13114,+,4.1324,18.0263,GG704912,4435037,4440949,DNA,hAT
CIMG_13076,GG704912:3275624..3276508(-),hypothetical protein,GG704912,3275196,3276725,CIMG_13076,-,37.7555,59.2643,GG704912,3275261,3275461,DNA,TcMar
CIMG_13075,GG704912:3274250..3274574(-),hypothetical protein,GG704912,3273657,3274633,CIMG_13075,-,0.1755,1.376,GG704912,3275261,3275461,DNA,TcMar
CIMG_13067,GG704912:2961731..2962077(-),hypothetical protein,GG704912,2961731,2962077,CIMG_13067,-,0.0967,2.308,GG704912,2965111,2965171,DNA,TcMar
CIMG_13060,GG704912:2757095..2757479(+),hypothetical protein,GG704912,2757095,2757479,CIMG_13060,+,0.2958,1.0923,GG704912,2757668,2757754,LTR,Copia
